Date,Year,Day_of_Year,Facility_Name,Industry,Production_Index,Natural_Gas_GJ,Energy_MWh,Steam_tonnes,Flare_Emissions_tCO2e,CH4_tCO2e,N2O_tCO2e,CO2_Emissions_tCO2e,Total_GHG_tCO2e,Operating_Hours
2010-01-01,2010,1,INEOS Chocolate Bayou Plant,Petrochemical,99.42,4485.44,848.39,1229.73,38.98,13.51,12.66,2372.21,2398.39,23.16
2010-01-02,2010,2,INEOS Chocolate Bayou Plant,Petrochemical,103.73,4528.07,846.54,1202.99,43.66,22.12,10.64,2396.85,2429.62,22.82
2010-01-03,2010,3,INEOS Chocolate Bayou Plant,Petrochemical,100.62,4505.81,866.8,1146.81,37.5,19.47,13.75,2390.9,2424.12,23.81
2010-01-04,2010,4,INEOS Chocolate Bayou Plant,Petrochemical,108.51,4657.63,818.62,1162.58,38.74,14.31,13.92,2433.11,2461.34,22.9
2010-01-05,2010,5,INEOS Chocolate Bayou Plant,Petrochemical,104.01,4384.64,877.03,1168.16,39.31,17.12,12.23,2400.22,2429.57,23.84
2010-01-06,2010,6,INEOS Chocolate Bayou Plant,Petrochemical,101.07,4592.14,850.79,1265.86,34.92,20.17,12.4,2466.2,2498.76,22.13
2010-01-07,2010,7,INEOS Chocolate Bayou Plant,Petrochemical,96.86,4411.38,877.38,1268.41,44.05,20.51,14.85,2370.28,2405.64,22.89
2010-01-08,2010,8,INEOS Chocolate Bayou Plant,Petrochemical,97.26,4337.74,862.26,1184.7,46.82,18.52,11.85,2372.44,2402.81,22.11
2010-01-09,2010,9,INEOS Chocolate Bayou Plant,Petrochemical,104.33,4482.39,846.44,1181.54,47.62,16.3,11.86,2428.47,2456.62,22.88
2010-01-10,2010,10,INEOS Chocolate Bayou Plant,Petrochemical,100.84,4720.17,881.86,1192.25,45.31,28.21,11.13,2506.97,2546.3,23.91
2010-01-11,2010,11,INEOS Chocolate Bayou Plant,Petrochemical,106.93,4674.92,869.63,1177.62,47.23,19.14,14.45,2482.77,2516.37,22.06
2010-01-12,2010,12,INEOS Chocolate Bayou Plant,Petrochemical,102.13,4559.79,857.02,1160.17,33.87,17.46,11.38,2398.12,2426.96,23.13
2010-01-13,2010,13,INEOS Chocolate Bayou Plant,Petrochemical,89.89,4665.15,878.98,1199.29,34.98,17.99,15.45,2421.53,2454.97,23.4
2010-01-14,2010,14,INEOS Chocolate Bayou Plant,Petrochemical,97.51,4459.85,890.52,1278.47,26.53,16.72,11.93,2386.48,2415.14,23.35
2010-01-15,2010,15,INEOS Chocolate Bayou Plant,Petrochemical,113.46,4625.57,901.49,1172.37,39.02,18.97,15.49,2389.63,2424.1,23.83
2010-01-16,2010,16,INEOS Chocolate Bayou Plant,Petrochemical,100.29,4601.84,871.32,1158.08,46.29,20.46,10.51,2441.57,2472.54,22.26
2010-01-17,2010,17,INEOS Chocolate Bayou Plant,Petrochemical,99.25,4642.23,830.38,1211.86,42.09,20.47,14.9,2442.12,2477.49,23.12
2010-01-18,2010,18,INEOS Chocolate Bayou Plant,Petrochemical,99.91,4602.98,874.32,1265.13,35.08,16.86,12.14,2464.55,2493.55,22.74
2010-01-19,2010,19,INEOS Chocolate Bayou Plant,Petrochemical,104,4873.92,877.92,1218.98,40.9,22.45,12.24,2592.68,2627.36,22.13
2010-01-20,2010,20,INEOS Chocolate Bayou Plant,Petrochemical,97.6,4562.82,882.73,1161.48,41.32,19.26,10.09,2461.11,2490.46,23.07
2010-01-21,2010,21,INEOS Chocolate Bayou Plant,Petrochemical,101.85,4449.28,885.36,1232.12,34.04,19.57,12.98,2357.4,2389.95,23.62
2010-01-22,2010,22,INEOS Chocolate Bayou Plant,Petrochemical,97.99,4672.87,871.74,1265.31,47.67,16.49,13.63,2436.6,2466.73,23.9
2010-01-23,2010,23,INEOS Chocolate Bayou Plant,Petrochemical,112.59,4637.72,932.23,1219.31,42.8,16.53,10.62,2502.22,2529.36,23.2
2010-01-24,2010,24,INEOS Chocolate Bayou Plant,Petrochemical,107.76,4686.63,896.83,1235.62,41.87,14.77,7.55,2557.73,2580.05,22.01
2010-01-25,2010,25,INEOS Chocolate Bayou Plant,Petrochemical,95.86,4584.51,890.16,1267.76,50.32,17.23,8.8,2438.62,2464.65,23.89
2010-01-26,2010,26,INEOS Chocolate Bayou Plant,Petrochemical,98.36,4584.11,888.21,1222.82,43.17,17.7,13.06,2514.54,2545.29,22.65
2010-01-27,2010,27,INEOS Chocolate Bayou Plant,Petrochemical,103.82,4721.64,894.96,1223.87,30.78,15.67,9.69,2535.2,2560.55,22.95
2010-01-28,2010,28,INEOS Chocolate Bayou Plant,Petrochemical,106.81,4634.42,877.61,1215.6,30.53,20.73,11.46,2498.08,2530.26,22.5
2010-01-29,2010,29,INEOS Chocolate Bayou Plant,Petrochemical,108.8,4730.72,965.79,1244.64,44.96,18.92,11.56,2674.36,2704.84,22.24
2010-01-30,2010,30,INEOS Chocolate Bayou Plant,Petrochemical,107.43,4598.36,909.5,1310.77,36.83,14.05,14.9,2458.85,2487.8,23.98
